"","taxa"
"1","Suezichthys bifurcatus"
"2","Acanthaluteres vittiger"
"3","Pseudolabrus biserialis"
"4","Nelusetta ayraud"
"5","Upeneichthys lineatus"
"6","Dotalabrus aurantiacus"
"7","Tilodon sexfasciatus"
"8","Ophthalmolepis lineolatus"
"9","Nemadactylus valenciennesi"
"10","Caesioperca spp"
"11","Anoplocapros lenticularis"
"12","Caprichthys gymnura"
"13","Blenniidae spp"
"14","Oplegnathus woodwardi"
"15","Capropygia unistriata"
"16","Chrysophrys auratus"
"17","Heterodontus portusjacksoni"
"18","Seriola hippos"
"19","Coris auricularis"
"20","Upeneichthys vlamingii"
"21","Carcharhinus brachyurus"
"22","Parequula melbournensis"
"23","Myliobatis australis"
"24","Neosebastes bougainvillii"
"25","Meuschenia scaber"
"26","Pseudocaranx spp"
"27","Diodon nicthemerus"
"28","Eubalichthys bucephalus"
"29","Mustelus antarcticus"
"30","Decapterus muroadsi"
"31","Omegophora armilla"
"32","Trygonorrhina dumerilii"
"33","Trachurus spp"
"34","Caesioperca rasor"
"35","Seriola lalandi"
"36","Achoerodus gouldii"
"37","Isurus oxyrinchus"
"38","Carcharhinus spp"
"39","Epinephelides armatus"
"40","Orectolobus hutchinsi"
"41","Eubalichthys mosaicus"
"42","Scorpis aequipinnis"
"43","Seriola dumerili"
"44","Neatypus obliquus"
"45","Carcharias taurus"
"46","Scorpis Aequipinnis"
"47","Grammatorcynus bicarinatus"
"48","Dactylophora nigricans"
"49","Thunnus spp"
"50","Arripis truttaceus"
"51","Galeocerdo cuvier"
"52","Sphyrna zygaena"
"53","Centroberyx lineatus"
"54","Bathytoshia brevicaudata"
"55","Plectorhinchus caeruleonothus"
"56","Lagocephalus sceleratus"
"57","Enoplosus armatus"
"58","Chromis klunzingeri"
"59","Meuschenia galii"
"60","Meuschenia flavolineata"
"61","Caesioscorpis theagenes"
"62","Bodianus frenchii"
"63","Othos dentex"
"64","Platycephalus spp"
"65","Anoplocapros amygdaloides"
"66","Caranx spp"
"67","Kyphosus sydneyanus"
"68","Notolabrus parilus"
"69","Trachinotus spp"
"70","Omegophora cyanopunctata"
"71","Pleuronectidae spp"
"72","Centroberyx gerrardi"
"73","Caesioperca lepidoptera"
"74","Chelmonops curiosus"
"75","Orectolobus maculatus"
"76","Hypoplectrodes nigroruber"
"77","Parma bicolor"
"78","Austrolabrus maculatus"
"79","Meuschenia freycineti"
"80","Furgaleus macki"
"81","Carangoides spp"
"82","Glaucosoma hebraicum"
"83","Scorpis georgiana"
"84","Trachurus novaezelandiae"
"85","Dinolestes lewini"
"86","Parma mccullochi"
"87","Girella zebra"
"88","Parapriacanthus elongatus"
"89","Scomberomorus commerson"
"90","Arripis trutta"
"91","Sillaginodes punctatus"
"92","Pictilabrus laticlavius"
"93","Sillago spp"
"94","Carcharodon carcharias"
"95","Aracana aurita"
"96","Choerodon rubescens"
"97","Chaetodon spp"
"98","Chromis spp"
"99","Plectorhinchus flavomaculatus"
"100","Parupeneus spilurus"
"101","Scomberomorus spp"
"102","Cheilodactylus rubrolabiatus"
"103","Meuschenia venusta"
"104","Sphyraena novaehollandiae"
"105","Trachinops noarlungae"
"106","Girella tephraeops"
"107","Chromis westaustralis"
"108","Pempheris klunzingeri"
"109","Parma occidentalis"
"110","Paraplesiops meleagris"
"111","Mola alexandrini"
"112","Parma victoriae"
"113","Carcharhinus obscurus"
"114","Meuschenia spp"
"115","Trygonoptera mucosa"
"116","Seriola spp"
"117","Zanclistius elevatus"
"118","Meuschenia hippocrepis"
"119","Trygonoptera spp"
"120","Parapercis spp"
"121","Latropiscis purpurissatus"
"122","Cheloniidae spp"
"123","Urolophus circularis"
"124","Alopias vulpinus"
"125","Octopus"
"126","cuttlefish"
"127","baitfish"
"128","squid"
"129","Trygonoptera personata"
"130","Asymbolus occiduus"
"131","Pentaceropsis recurvirostris"
"132","Paristiopterus gallipavo"
"133","Carcharhinus plumbeus"
"134","Urolophus spp"
"135","Tetraodon spp"
"136","Carcharhinus brevipinna"
"137","Neophoca cinerea"
"138","Pomacanthus spp"
"139","Cheilodactylus nigripes"
"140","Pomacentrus spp"
"141","Trygonoptera ovalis"
"142","Neosebastes pandus"
"143","Pempheris spp"
"144","Girella spp"
"145","Parazanclistius hutchinsi"
"146","Squatina australis"
"147","Parascyllium ferrugineum"
"148","Pelates octolineatus"
"149","Eubalichthys cyanoura"
"150","Acanthaluteres spilomelanurus"
"151","Aulohalaelurus labiosus"
"152","Metavelifer multiradiatus"
"153","Megaptera novaeangliae"
"154","Monacanthus spp"
"155","Olisthops cyanomelas"
"156","Aplodactylus westralis"
"157","Decapterus spp"
"158","Labracinus lineatus"
"159","Acanthaluteres brownii"
"160","Pentapodus vitta"
"161","Orectolobus spp"
"162","Pseudorhombus spp"
"163","Aptychotrema vincentiana"
"164","Eupetrichthys angustipes"
"165","Parapercis haackei"
"166","Atherinomorus vaigiensis"
"167","Rhabdosargus sarba"
"168","Kyphosus cornelii"
"169","Pelsartia humeralis"
"170","Ostorhinchus rueppellii"
"171","Monacanthus chinensis"
"172","Heteroscarus acroptilus"
"173","Pempheris multiradiata"
"174","Rhynchobatus australiae"
"175","Plectropomus spp"
"176","Anampses geographicus"
"177","Hypseleotris galii"
"178","Paraplesiops sinclairi"
"179","Monocentris spp"
"180","Omobranchus lineolatus"
"181","Parupeneus chrysopleuron"
"182","Sarda orientalis"
"183","Cheilodactylus gibbosus"
"184","Halichoeres brownfieldi"
"185","Siphonognathus caninis"
"186","Plectropomus leopardus"
"187","Naso vlamingii"
"188","Sardinops sagax"
"189","Platycephalus speculator"
"190","Platycephalus grandispinis"
"191","Atule spp"
"192","Pempheris ornata"
"193","Upeneus australiae"
"194","Parascyllium variolatum"
"195","Zeus faber"
"196","Whale"
"197","sea hare"
"198","southern eagle ray"
"199","Neosebastes nigropunctatus"
"200","Pristiophorus cirratus"
"201","Neosebastes spp"
"202","Histiophryne bougainvilli"
"203","Paristiopterus labiosus"
"204","Sutorectus tentaculatus"
"205",""
"206","Allomycterus pilatus"
"207","Orectolobus halei"
"208","Kyphosus bigibbus"
"209","Argyrosomus japonicus"
"210","Thunnus maccoyii"
"211","Cybiosarda elegans"
