FAMILY	GENUS	SPECIES	CAAB CODE
Balistidae	Abalistes	spp	37465904
Balistidae	Abalistes	filamentosus	37465089
Balistidae	Abalistes	stellatus	37465011
Tetrarogidae	Ablabys	spp	37287905
Tetrarogidae	Ablabys	taenianotus	37287031
Belonidae	Ablennes	spp	37235901
Belonidae	Ablennes	hians	37235001
Pomacentridae	Abudefduf	spp	37372901
Pomacentridae	Abudefduf	bengalensis	37372003
Pomacentridae	Abudefduf	notatus	37372145
Pomacentridae	Abudefduf	septemfasciatus	37372010
Pomacentridae	Abudefduf	sexfasciatus	37372011
Pomacentridae	Abudefduf	sordidus	37372012
Pomacentridae	Abudefduf	vaigiensis	37372013
Pomacentridae	Abudefduf	whitleyi	37372014
Hydrophiidae	Acalyptophis	spp	1
Monacanthidae	Acanthaluteres	spp	37465905
Monacanthidae	Acanthaluteres	brownii	37465001
Monacanthidae	Acanthaluteres	spilomelanurus	37465043
Monacanthidae	Acanthaluteres	vittiger	37465002
Percophidae	Acanthaphritis	spp	37393901
Percophidae	Acanthaphritis	barbata	37393010
Percophidae	Acanthaphritis	ozawai	37393007
Serranidae	Acanthistius	spp	37311912
Serranidae	Acanthistius	cinctus	37311131
Serranidae	Acanthistius	ocellatus	37311090
Serranidae	Acanthistius	pardalotus	37311132
Serranidae	Acanthistius	paxtoni	37311133
Serranidae	Acanthistius	serratus	37311035
Cepolidae	Acanthocepola	spp	37380901
Cepolidae	Acanthocepola	abbreviata	37380002
Cepolidae	Acanthocepola	krusensternii	37380003
Cepolidae	Acanthocepola	limbata	37380004
Pomacentridae	Acanthochromis	spp	37372902
Pomacentridae	Acanthochromis	polyacanthus	37372015
Scombridae	Acanthocybium	spp	37441913
Scombridae	Acanthocybium	solandri	37441024
Bathydraconidae	Acanthodraco	spp	37406901
Bathydraconidae	Acanthodraco	dewitti	37406750
Gobiidae	Acanthogobius	spp	37428901
Gobiidae	Acanthogobius	flavimanus	37428030
Sparidae	Acanthopagrus	spp	37353904
Sparidae	Acanthopagrus	australis	37353004
Sparidae	Acanthopagrus	butcheri	37353003
Sparidae	Acanthopagrus	morrisoni	37353012
Sparidae	Acanthopagrus	pacificus	37353011
Sparidae	Acanthopagrus	palmaris	37353014
Aploactinidae	Acanthosphex	spp	37290901
Aploactinidae	Acanthosphex	leurynnis	37290017
Ostraciidae	Acanthostracion	spp	37466901
Ostraciidae	Acanthostracion	bucephalus	37466024
Acanthuridae	Acanthurus	spp	37437901
Acanthuridae	Acanthurus	albipectoralis	37437004
Acanthuridae	Acanthurus	auranticavus	37437005
Acanthuridae	Acanthurus	bariene	37437006
Acanthuridae	Acanthurus	blochii	37437007
Acanthuridae	Acanthurus	dussumieri	37437008
Acanthuridae	Acanthurus	fowleri	37437044
Acanthuridae	Acanthurus	grammoptilus	37437002
Acanthuridae	Acanthurus	guttatus	37437009
Acanthuridae	Acanthurus	leucocheilus	37437053
Acanthuridae	Acanthurus	leucosternon	37437054
Acanthuridae	Acanthurus	lineatus	37437010
Acanthuridae	Acanthurus	maculiceps	37437041
Acanthuridae	Acanthurus	mata	37437011
Acanthuridae	Acanthurus	nigricans	37437012
Acanthuridae	Acanthurus	nigricauda	37437013
Acanthuridae	Acanthurus	nigrofuscus	37437014
Acanthuridae	Acanthurus	nigros	37437015
Acanthuridae	Acanthurus	olivaceus	37437016
Acanthuridae	Acanthurus	pyroferus	37437017
Acanthuridae	Acanthurus	tennentii	37437050
Acanthuridae	Acanthurus	thompsoni	37437018
Acanthuridae	Acanthurus	triostegus	37437019
Acanthuridae	Acanthurus	tristis	37437051
Acanthuridae	Acanthurus	xanthopterus	37437020
Bythitidae	Acarobythites	spp	37228902
Bythitidae	Acarobythites	larsonae	37228054
Gobiidae	Acentrogobius	spp	37428902
Gobiidae	Acentrogobius	caninus	37428019
Gobiidae	Acentrogobius	janthinopterus	37428031
Gobiidae	Acentrogobius	pflaumii	37428361
Gobiidae	Acentrogobius	viridipunctatus	37428021
Syngnathidae	Acentronura	spp	37282901
Syngnathidae	Acentronura	breviperula	37282035
Labridae	Achoerodus	spp	37384905
Labridae	Achoerodus	gouldii	37384002
Labridae	Achoerodus	viridis	37384043
