Species,COMMON_NAME,SCIENTIFIC_NAME,Taxa,CAES_Code,CAAB_code
,Cowsharks,Hexanchidae,Elasmobranch,,5000
OS,Sharpnose sevengill shark,Heptranchias perlo,Elasmobranch,,5001
BS,Broadnose sevengill,Notorynchus cepedianus,Elasmobranch,5001,5002
BX,Bigeye sixgill shark,Hexanchus nakamurai,Elasmobranch,5002,5004
PJ,Port Jackson,Heterodontus portusjacksoni,Elasmobranch,7001,7001
GN,Grey nurse shark,Carcharias taurus,Elasmobranch,8001,8001
OF,Sandtiger shark,Odontaspis ferox,Elasmobranch,8003,8003
CR,Crocodile shark,Pseudocarcharias kamoharai,Elasmobranch,9003,9003
MS,Shortfin mako,Isurus oxyrinchus,Elasmobranch,10001,10001
,Longfin mako shark,Isurus paucus,Elasmobranch,,10002
WP,White shark,Carcharodon Carcharias,Elasmobranch,10003,10003
,Porbeagle,Lamna nasus,Elasmobranch,,10004
TS,Thresher sharks,Family Alopiidae,Elasmobranch,12000,12000
PT,Pelagic thresher shark,Alopias pelagicus,Elasmobranch,12003,12003
WB,Wobbegongs,Orectolobus spp.,Elasmobranch,13000,13906
WS,Spotted wobbegong,Orectolobus maculatus,Elasmobranch,13000,13003
WW,Western wobbegong,Orectolobus hutchinsi,Elasmobranch,13016,13016
WD,Banded wobbegong,Orectolobus halei,Elasmobranch,13000,13020
ZE,Zebra shark,Stegastoma fasciatum,Elasmobranch,13006,13006
BC,Brown-banded catshark,Chiloscyllium punctatum,Elasmobranch,13008,13008
TN,Tawny nurse shark,Nebrius ferrugineus,Elasmobranch,13010,13010
WT,Wobbegong (tasselled),Eucrossorhinus dasypogon,Elasmobranch,13011,13011
WC,Cobbler wobbegong,Sutorectus tentaculatus,Elasmobranch,13012,13012
WN,Wobbegong (northern),Orectolobus wardi,Elasmobranch,13017,13017
WF,Wobbegong (floral banded),Orectolobus floridus,Elasmobranch,13021,13021
WM,Dwarf spotted wobbegong,Orectolobus parvimaculatus,Elasmobranch,13022,13022
HE,Longtail carpet sharks,Hemiscylliidae,Elasmobranch,,13912
CA,Catsharks,Family Scyliorhinidae,Elasmobranch,15000,15000
,Speckled catshark,Halaelurus boesemani,Elasmobranch,,15004
,Black-spotted catshark,Aulohalaelurus labiosus,Elasmobranch,,15029
,Banded catshark,Atelomycterus spp,Elasmobranch,,15903
GM,Gummy shark,Mustelus antarcticus,Elasmobranch,17001,17001
WH,Whiskery shark,Furgaleus macki,Elasmobranch,17003,17003
GG,Grey gummy shark,Mustelus ravidus,Elasmobranch,17005,17005
PN,Pencil shark,Hypogaleus hyugaensis,Elasmobranch,17006,17006
ES,Eastern school shark,Galeorhinus galeus,Elasmobranch,17008,17008
SF,Sicklefin houndshark,Hemitriakis falcata,Elasmobranch,17009,17009
WG,Western spotted gummy,Mustelus stevensi,Elasmobranch,17012,17012
CP,Bronze whaler,Carcharhinus brachyurus,Elasmobranch,18001,18001
BW,Dusky shark,Carcharhinus obscurus,Elasmobranch,18003,18003
GB,Blue shark,Pironace glauca,Elasmobranch,18004,18004
SE,Sliteye shark,Loxodon macrorhinus,Elasmobranch,18005,18005
MI,Milk shark,Rhizoprionodon acutus,Elasmobranch,18006,18006
TK,Sandbar shark,Carcharhinus plumbeus,Elasmobranch,18007,18007
SI,Silky shark,Carcharhinus falciformis,Elasmobranch,18008,18008
CD,Whitecheek shark,Carcharhinus coatesi,Elasmobranch,18009,18009
SN,Snaggletooth,Hemipristis elongata,Elasmobranch,18011,18011
BN,Bignose shark,Carcharhinus altimus,Elasmobranch,18012,18012
SO,Spot-tail shark,Carcharhinus sorrah,Elasmobranch,18013,18013
